X,Y,Cu
7703561,474171,33.5
7703259,469192,71.7
7704645,466369,71.3
7703993,463753,74.4
7698365,463077,48.4
7698178,469023,25.7
7698240,473404,29.5
7689429,496281,39.2
7690743,497546,42.6
7702317,491327,56.8
